document_number,publication_date,agency_id,agency,subagency,title,abstract,type,excerpts,raw_name,slug,url,html_url,pdf_url,public_inspection_pdf_url,json_url,parent_id
2018-08857,2018-04-27,262,International Trade Commission,,Notice of Receipt of Complaint; Solicitation of Comments Relating to the Public Interest,"Notice is hereby given that the U.S. International Trade Commission has received a complaint entitled Certain Submarine Telecommunication Systems and Components Thereof, DN 3311; the Commission is soliciting comments on any public interest issues raised by the complaint or complainant's filing pursuant to the Commission's Rules of Practice and Procedure.",Notice,"Notice is hereby given that the U.S. International Trade Commission has received a complaint entitled Certain Submarine Telecommunication Systems and Components Thereof, DN 3311; the Commission is soliciting comments on any public interest issues...",INTERNATIONAL TRADE COMMISSION,international-trade-commission,https://www.federalregister.gov/agencies/international-trade-commission,https://www.federalregister.gov/documents/2018/04/27/2018-08857/notice-of-receipt-of-complaint-solicitation-of-comments-relating-to-the-public-interest,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08857.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08857.pdf?1524746727,https://www.federalregister.gov/api/v1/agencies/262.json,
2018-08882,2018-04-27,268,Justice Department,Federal Bureau of Investigation,Agency Information Collection Activities; Proposed eCollection eComments Requested; New Collection,"The Department of Justice, Federal Bureau of Investigation, Training Division is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995.",Notice,"The Department of Justice, Federal Bureau of Investigation, Training Division is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act...",DEPARTMENT OF JUSTICE,justice-department,https://www.federalregister.gov/agencies/justice-department,https://www.federalregister.gov/documents/2018/04/27/2018-08882/agency-information-collection-activities-proposed-ecollection-ecomments-requested-new-collection,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08882.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08882.pdf?1524746730,https://www.federalregister.gov/api/v1/agencies/268.json,
2018-08876,2018-04-27,268,Justice Department,,Agency Information Collection: Submission to OMB for Review and Approval,"The Department of Justice, Civil Division, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995. This proposed information collection was previously published in the Federal Register on February 22, 2018, allowing for a 60 day comment period.",Notice,"The Department of Justice, Civil Division, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995. This proposed information...",DEPARTMENT OF JUSTICE,justice-department,https://www.federalregister.gov/agencies/justice-department,https://www.federalregister.gov/documents/2018/04/27/2018-08876/agency-information-collection-submission-to-omb-for-review-and-approval,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08876.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08876.pdf?1524746730,https://www.federalregister.gov/api/v1/agencies/268.json,
2018-08944,2018-04-27,268,Justice Department,,Notice of Lodging of Proposed Consent Decree Under the Clean Air Act,,Notice,,DEPARTMENT OF JUSTICE,justice-department,https://www.federalregister.gov/agencies/justice-department,https://www.federalregister.gov/documents/2018/04/27/2018-08944/notice-of-lodging-of-proposed-consent-decree-under-the-clean-air-act,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08944.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08944.pdf?1524746739,https://www.federalregister.gov/api/v1/agencies/268.json,
2018-08896,2018-04-27,271,Labor Department,,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Bureau of Labor Statistics Occupational Safety and Health Statistics Cooperative Agreement Application Package,"The Department of Labor (DOL) is submitting the Bureau of Labor Statistics sponsored information collection request (ICR) revision titled, ``Bureau of Labor Statistics Occupational Safety and Health Statistics Cooperative Agreement Application Package,'' to the Office of Management and Budget (OMB) for review and approval for use in accordance with the Paperwork Reduction Act (PRA) of 1995. Public comments on the ICR are invited.",Notice,"The Department of Labor (DOL) is submitting the Bureau of Labor Statistics sponsored information collection request (ICR) revision titled, ``Bureau of Labor Statistics Occupational Safety and Health Statistics Cooperative Agreement Application...",DEPARTMENT OF LABOR,labor-department,https://www.federalregister.gov/agencies/labor-department,https://www.federalregister.gov/documents/2018/04/27/2018-08896/agency-information-collection-activities-submission-for-omb-review-comment-request-bureau-of-labor,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08896.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08896.pdf?1524746733,https://www.federalregister.gov/api/v1/agencies/271.json,
2018-08884,2018-04-27,271,Labor Department,,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Servicing Multi-Piece and Single Piece Rim Wheels Standard,"The Department of Labor (DOL) is submitting the Occupational Safety and Health Administration (OSHA) sponsored information collection request (ICR) titled, ``Servicing Multi-Piece and Single Piece Rim Wheels Standard,'' to the Office of Management and Budget (OMB) for review and approval for continued use, without change, in accordance with the Paperwork Reduction Act of 1995 (PRA). Public comments on the ICR are invited.",Notice,"The Department of Labor (DOL) is submitting the Occupational Safety and Health Administration (OSHA) sponsored information collection request (ICR) titled, ``Servicing Multi-Piece and Single Piece Rim Wheels Standard,'' to the Office of Management and...",DEPARTMENT OF LABOR,labor-department,https://www.federalregister.gov/agencies/labor-department,https://www.federalregister.gov/documents/2018/04/27/2018-08884/agency-information-collection-activities-submission-for-omb-review-comment-request-servicing,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08884.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08884.pdf?1524746730,https://www.federalregister.gov/api/v1/agencies/271.json,
2018-08885,2018-04-27,271,Labor Department,,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Labor Market Information Cooperative Agreement,"The Department of Labor (DOL) is submitting the Bureau of Labor Statistics (BLS) sponsored information collection request (ICR) titled, ``Labor Market Information Cooperative Agreement,'' to the Office of Management and Budget (OMB) for review and approval for continued use, without change, in accordance with the Paperwork Reduction Act of 1995 (PRA). Public comments on the ICR are invited.",Notice,"The Department of Labor (DOL) is submitting the Bureau of Labor Statistics (BLS) sponsored information collection request (ICR) titled, ``Labor Market Information Cooperative Agreement,'' to the Office of Management and Budget (OMB) for review and...",DEPARTMENT OF LABOR,labor-department,https://www.federalregister.gov/agencies/labor-department,https://www.federalregister.gov/documents/2018/04/27/2018-08885/agency-information-collection-activities-submission-for-omb-review-comment-request-labor-market,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08885.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08885.pdf?1524746730,https://www.federalregister.gov/api/v1/agencies/271.json,
2018-08890,2018-04-27,271,Labor Department,,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Coverage of Certain Preventive Services Under the Affordable Care Act-Private Sector,"The Department of Labor (DOL) is submitting the Employee Benefits Security Administration (EBSA) sponsored information collection request (ICR) revision titled, ``Coverage of Certain Preventive Services under the Affordable Care Act--Private Sector,'' to the Office of Management and Budget (OMB) for review and approval for use in accordance with the Paperwork Reduction Act (PRA) of 1995. Public comments on the ICR are invited.",Notice,"The Department of Labor (DOL) is submitting the Employee Benefits Security Administration (EBSA) sponsored information collection request (ICR) revision titled, ``Coverage of Certain Preventive Services under the Affordable Care Act--Private Sector,''...",DEPARTMENT OF LABOR,labor-department,https://www.federalregister.gov/agencies/labor-department,https://www.federalregister.gov/documents/2018/04/27/2018-08890/agency-information-collection-activities-submission-for-omb-review-comment-request-coverage-of,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08890.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08890.pdf?1524746731,https://www.federalregister.gov/api/v1/agencies/271.json,
2018-08895,2018-04-27,271,Labor Department,,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Survey of Occupational Injuries and Illnesses,"The Department of Labor (DOL) is submitting the Bureau of Labor Statistics (BLS) sponsored information collection request (ICR) titled, ``Survey of Occupational Injuries and Illnesses,'' to the Office of Management and Budget (OMB) for review and approval for continued use, without change, in accordance with the Paperwork Reduction Act of 1995 (PRA). Public comments on the ICR are invited.",Notice,"The Department of Labor (DOL) is submitting the Bureau of Labor Statistics (BLS) sponsored information collection request (ICR) titled, ``Survey of Occupational Injuries and Illnesses,'' to the Office of Management and Budget (OMB) for review and...",DEPARTMENT OF LABOR,labor-department,https://www.federalregister.gov/agencies/labor-department,https://www.federalregister.gov/documents/2018/04/27/2018-08895/agency-information-collection-activities-submission-for-omb-review-comment-request-survey-of,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08895.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08895.pdf?1524746732,https://www.federalregister.gov/api/v1/agencies/271.json,
2018-08936,2018-04-27,342,National Foundation on the Arts and the Humanities,Institute of Museum and Library Services,"Submission for OMB Review, Comment Request, Proposed Collection: IMLS Grants to States Program “State Program Reporting System (SPR) Forms","The Institute of Museum and Library Services announces the following information collection has been submitted to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act. This program helps to ensure that requested data can be provided in the desired format, reporting burden (time and financial resources) is minimized, collection instruments are clearly understood, and the impact of collection requirements on respondents can be properly assessed. This notice proposes the clearance of the IMLS Grants to States Program ``State Program Reporting System (SPR) Forms. A copy of the proposed information collection request can be obtained by contacting the individual listed below in the ADDRESSES section of this notice.",Notice,The Institute of Museum and Library Services announces the following information collection has been submitted to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act. This program helps to...,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,national-foundation-on-the-arts-and-the-humanities,https://www.federalregister.gov/agencies/national-foundation-on-the-arts-and-the-humanities,https://www.federalregister.gov/documents/2018/04/27/2018-08936/submission-for-omb-review-comment-request-proposed-collection-imls-grants-to-states-program-state,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08936.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08936.pdf?1524746740,https://www.federalregister.gov/api/v1/agencies/342.json,
